Report creation time: 29/05/2026 11:22:12 | Query:  (1528/1528),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https:/uiophjkl/v2/rule-viewer?query=&domain=QDhKYznu9yvGuWVvjPK8rw%3D%3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq No.,Domain Name,Vendor,Device Name,Device ID,Policy Name,Rule Location,Rule Type,Section Title,Ruleset,Section group,ID on Device,SecureTrack Rule ID,Rule Name,Disabled,From Zone,To Zone,Source,Source Negated,Source User,Destination,Destination Negated,Service,Service Negated,Application,URL Category,Action,Direction,VPN,Tags,Security Profiles,Comment,Logged,Log Level,Log Interval,Log Profile,Installed On,Time,Permissiveness,Violations Max Severity,Violated USPs,Last Hit,Last Modified,Shadowing Status,Technical Owner,Ticket ID,Business Owner,Expiration Date,Ticket in Progress,Rule Description,Automation Attribute,Certification Status,Certification Date,Certification Expiration,Certification Owner,Certification Owner Email,Certification Comment,Certification Ticket ID,Certification Ticket Subject,Application Name,Application Owner
1,Cloud,CHECKPOINT,CLOUD,ULcWSUhYGkGZadmirTISSg==,__monitor__-restrictive-policy,PRE,,Allscripts,,,{8DECDD34-B297-4DDA-A44F-16DBBF45587C},0m0rQm12LJtPt6ClxLteeg==,Citrix_ICA,FALSE,,,HCA-10.0.0.0m8,FALSE,,Allscripts-Azure-East-10.45.2.0m24,FALSE,Allscripts_Citrix_ICA,FALSE,,,ALLOW,,ANY_VPN,,,CHG0159814-fci7251-5/11/21,TRUE,RTL_LOG,,,ANY_IT,ANY_SCHEDULE,HIGH,,,,3/29/2024,NOT_SHADOWED,,,,,,,,,,,,,,,,,
